iter	Passed	Remaining
0	3	3411
1	6	3432
2	10	3376
3	13	3348
4	15	3144
5	18	3135
6	21	3055
7	25	3108
8	28	3112
9	31	3121
10	35	3147
11	38	3155
12	41	3120
13	44	3126
14	47	3130
15	51	3143
16	54	3154
17	57	3152
18	60	3112
19	63	3115
20	66	3115
21	70	3112
22	73	3110
23	76	3112
24	80	3124
25	83	3124
26	86	3124
27	90	3127
28	93	3131
29	96	3134
30	100	3132
31	103	3131
32	106	3130
33	110	3129
34	113	3128
35	116	3124
36	119	3118
37	122	3106
38	125	3104
39	129	3101
40	132	3101
41	135	3101
42	139	3099
43	142	3097
44	145	3095
45	149	3093
46	152	3090
47	155	3089
48	158	3077
49	161	3074
50	165	3070
51	168	3069
52	172	3076
53	176	3093
54	180	3101
55	184	3118
56	189	3127
57	193	3143
58	196	3139
59	199	3122
60	218	3356
61	221	3350
62	224	3344
63	228	3339
64	231	3331
65	234	3323
66	238	3316
67	240	3292
68	242	3271
69	245	3263
70	248	3256
71	252	3248
72	255	3241
73	258	3235
74	261	3229
75	265	3223
76	268	3216
77	271	3211
78	274	3204
79	278	3200
80	280	3181
81	283	3177
82	287	3173
83	290	3172
84	294	3169
85	297	3165
86	300	3154
87	303	3149
88	307	3144
89	310	3139
90	313	3133
91	316	3127
92	320	3123
93	323	3118
94	326	3114
95	330	3109
96	333	3105
97	336	3101
98	340	3095
99	343	3091
100	346	3085
101	349	3080
102	353	3074
103	356	3069
104	359	3065
105	362	3060
106	366	3057
107	370	3059
108	374	3059
109	378	3058
110	381	3057
111	386	3063
112	392	3080
113	396	3078
114	399	3078
115	403	3078
116	409	3088
117	413	3092
118	416	3087
119	420	3081
120	425	3087
121	428	3082
122	430	3067
123	433	3060
124	436	3053
125	439	3050
126	442	3044
127	446	3038
128	449	3033
129	452	3027
130	455	3022
131	470	3094
132	473	3088
133	476	3081
134	479	3075
135	483	3069
136	486	3063
137	489	3057
138	492	3052
139	496	3047
140	499	3042
141	502	3038
142	506	3036
143	509	3027
144	513	3030
145	516	3021
146	521	3024
147	524	3018
148	527	3012
149	530	3007
150	534	3007
151	538	3002
152	541	2998
153	557	3061
154	560	3055
155	563	3050
156	567	3047
157	571	3043
158	575	3042
159	578	3035
160	582	3032
161	585	3028
162	589	3024
163	593	3023
164	597	3022
165	601	3022
166	605	3021
167	608	3014
168	613	3015
169	616	3010
170	620	3006
171	623	3000
172	626	2994
173	630	2993
174	633	2988
175	637	2983
176	640	2978
177	644	2974
178	648	2972
179	652	2973
180	657	2975
181	662	2979
182	666	2974
183	669	2967
184	672	2962
185	677	2963
186	680	2957
187	682	2948
188	685	2942
189	688	2936
190	692	2933
191	695	2928
192	699	2922
193	702	2917
194	705	2912
195	708	2906
196	711	2901
197	713	2890
198	716	2883
199	719	2877
200	722	2872
201	725	2867
202	728	2861
203	732	2856
204	735	2851
205	738	2846
206	741	2841
207	744	2836
208	748	2831
209	751	2826
210	754	2821
211	757	2816
212	760	2810
213	763	2805
214	767	2802
215	771	2801
216	775	2797
217	779	2796
218	782	2792
219	786	2787
220	790	2786
221	793	2781
222	796	2776
223	799	2771
224	804	2771
225	808	2767
226	811	2764
227	815	2760
228	818	2756
229	821	2751
230	825	2746
231	828	2742
232	831	2737
233	834	2733
234	838	2728
235	841	2723
236	844	2718
237	847	2713
238	851	2711
239	856	2710
240	859	2707
241	863	2703
242	867	2702
243	870	2698
244	874	2693
245	877	2689
246	881	2686
247	884	2682
248	887	2677
249	890	2672
250	894	2667
251	898	2665
252	901	2661
253	904	2657
254	907	2652
255	911	2648
256	914	2644
257	917	2639
258	921	2635
259	924	2631
260	927	2626
261	931	2622
262	934	2618
263	937	2614
264	940	2609
265	945	2607
266	948	2603
267	951	2598
268	954	2594
269	957	2589
270	961	2587
271	965	2582
272	968	2578
273	972	2576
274	976	2573
275	979	2569
276	983	2567
277	987	2564
278	993	2566
279	996	2562
280	999	2557
281	1002	2553
282	1006	2549
283	1009	2544
284	1012	2539
285	1015	2535
286	1018	2530
287	1021	2526
288	1025	2522
289	1028	2518
290	1031	2513
291	1034	2509
292	1038	2505
293	1041	2500
294	1044	2496
295	1047	2492
296	1050	2487
297	1054	2483
298	1057	2478
299	1060	2474
300	1063	2469
301	1066	2465
302	1069	2460
303	1072	2456
304	1076	2452
305	1079	2447
306	1082	2443
307	1085	2438
308	1088	2433
309	1091	2429
310	1094	2425
311	1097	2420
312	1100	2416
313	1104	2412
314	1107	2407
315	1110	2402
316	1113	2398
317	1116	2394
318	1119	2390
319	1122	2385
320	1129	2388
321	1132	2383
322	1135	2379
323	1138	2375
324	1141	2371
325	1144	2366
326	1147	2362
327	1151	2358
328	1154	2354
329	1157	2350
330	1160	2345
331	1163	2341
332	1166	2337
333	1169	2332
334	1173	2330
335	1178	2328
336	1181	2324
337	1185	2320
338	1188	2317
339	1192	2315
340	1198	2316
341	1202	2312
342	1205	2308
343	1208	2304
344	1212	2301
345	1217	2300
346	1220	2297
347	1223	2293
348	1227	2289
349	1232	2288
350	1236	2286
351	1239	2282
352	1243	2278
353	1247	2277
354	1251	2274
355	1255	2271
356	1259	2267
357	1262	2264
358	1265	2260
359	1269	2256
360	1272	2252
361	1275	2248
362	1278	2244
363	1280	2238
364	1284	2233
365	1287	2229
366	1290	2225
367	1293	2221
368	1295	2215
369	1298	2211
370	1301	2206
371	1304	2202
372	1307	2198
373	1311	2194
374	1314	2190
375	1317	2186
376	1320	2182
377	1323	2178
378	1327	2174
379	1330	2170
380	1333	2166
381	1336	2162
382	1339	2158
383	1342	2154
384	1346	2150
385	1349	2146
386	1352	2142
387	1355	2138
388	1359	2134
389	1362	2131
390	1366	2127
391	1370	2125
392	1374	2122
393	1378	2119
394	1383	2118
395	1387	2115
396	1390	2112
397	1393	2108
398	1397	2104
399	1400	2101
400	1404	2097
401	1407	2094
402	1411	2090
403	1414	2087
404	1418	2083
405	1421	2080
406	1425	2076
407	1428	2072
408	1431	2069
409	1435	2065
410	1438	2061
411	1442	2058
412	1445	2054
413	1448	2050
414	1452	2047
415	1455	2043
416	1459	2039
417	1462	2035
418	1465	2032
419	1469	2028
420	1472	2025
421	1476	2021
422	1479	2018
423	1483	2014
424	1486	2011
425	1489	2007
426	1493	2003
427	1496	2000
428	1499	1996
429	1503	1992
430	1506	1989
431	1510	1985
432	1513	1982
433	1517	1978
434	1520	1975
435	1524	1971
436	1527	1968
437	1531	1964
438	1534	1961
439	1538	1957
440	1541	1953
441	1544	1950
442	1548	1946
443	1551	1943
444	1555	1939
445	1558	1936
446	1562	1932
447	1565	1929
448	1568	1925
449	1573	1922
450	1577	1920
451	1580	1916
452	1584	1913
453	1589	1911
454	1593	1909
455	1597	1905
456	1600	1901
457	1603	1898
458	1607	1895
459	1611	1891
460	1614	1888
461	1618	1884
462	1622	1881
463	1625	1877
464	1628	1874
465	1632	1870
466	1635	1866
467	1639	1863
468	1642	1859
469	1645	1855
470	1649	1852
471	1652	1848
472	1655	1844
473	1659	1841
474	1662	1837
475	1666	1834
476	1669	1830
477	1672	1826
478	1675	1822
479	1680	1820
480	1683	1816
481	1687	1813
482	1692	1811
483	1696	1808
484	1700	1805
485	1706	1804
486	1710	1801
487	1714	1798
488	1718	1795
489	1723	1793
490	1727	1790
491	1732	1788
492	1737	1787
493	1743	1786
494	1749	1784
495	1754	1782
496	1759	1780
497	1762	1777
498	1769	1776
499	1774	1774
500	1778	1771
501	1784	1769
502	1787	1766
503	1792	1763
504	1796	1761
505	1801	1758
506	1804	1755
507	1809	1752
508	1814	1750
509	1819	1747
510	1823	1744
511	1829	1743
512	1833	1740
513	1837	1737
514	1841	1734
515	1848	1733
516	1852	1730
517	1855	1727
518	1861	1725
519	1866	1722
520	1870	1719
521	1874	1716
522	1879	1714
523	1884	1711
524	1887	1708
525	1894	1706
526	1898	1703
527	1901	1700
528	1905	1696
529	1911	1694
530	1915	1691
531	1918	1687
532	1926	1687
533	1929	1684
534	1933	1680
535	1939	1678
536	1943	1675
537	1947	1672
538	1951	1668
539	1957	1667
540	1961	1664
541	1965	1660
542	1971	1659
543	1977	1657
544	1981	1653
545	1986	1651
546	1989	1647
547	1993	1644
548	1998	1641
549	2003	1639
550	2006	1635
551	2008	1630
552	2012	1626
553	2015	1622
554	2027	1625
555	2031	1621
556	2034	1618
557	2037	1614
558	2041	1610
559	2044	1606
560	2047	1602
561	2051	1598
562	2054	1594
563	2057	1590
564	2061	1586
565	2064	1583
566	2067	1579
567	2071	1575
568	2074	1571
569	2077	1567
570	2081	1563
571	2084	1559
572	2088	1556
573	2091	1552
574	2094	1548
575	2098	1544
576	2101	1540
577	2104	1536
578	2108	1532
579	2111	1528
580	2114	1524
581	2117	1521
582	2121	1517
583	2124	1513
584	2128	1509
585	2131	1505
